filepath,class_name,display_name,label,extension,format,width,height,mode,sha256,perceptual_hash,is_valid,issue
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/042135e2-e126-4900-9212-d42d900b8125___RS_Early.B 8791.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,6b15a625b4adf563454f9e244615146f3bed9f9aedc2feb48de8563b381578a9,abe8a4c7949d129d,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,d2a249bcb5d271e3e9f6c4299d513323ab2c844c066baf67bc5e78f32b06fb0b,a281c4d38beadd47,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/048d18ae-98b1-484d-97da-5a0e69b9ebc1___RS_Early.B 6845.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,95e7edd57a44cdedb38851855753346dd2863b10b032619bfebd1383b3404a69,aaf035863fc2384f,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/04c8e6b9-7710-4cdd-b259-2d78b15d1036___RS_Early.B 7066.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,197659af8b55b839ea359dede0b9af55020d9128d5603a2502e97bbc280ca0de,ef60c069cf0fcc58,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/04ee51b6-07e2-4182-84f8-46b22c8938a2___RS_Early.B 8091.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,19e8b1d0843a3cc1b1f2e74a0067729369b46257f84bcee6f1c7f6c50b5b1de8,eaa3e085a55eb54a,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/04fd2a46-ddd4-4b0b-8f19-5ecca482a7d5___RS_Early.B 7273.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,42865db9829cdf51e244a5dace2161d8fd7e9572ed8e7991b02c0681e454384a,aa1db556ca69c561,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/05c35093-11b8-4cd0-b67a-148859754440___RS_Early.B 8939.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,150c26fb8f80c0d15527c75a9f767961d8d7293cc8ddebaf850b0db4ab8d7d70,fa4c7589363b8532,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0604174e-3018-4faa-9975-0be32d2c0789___RS_Early.B 7123.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,b2a9eeba8d90be61fe886c92ff7725afd8430b93df57d66b5c9ea71bb786ffab,be9d85b4da42c949,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/060fd5a7-1606-4a59-895b-604c90d6b414___RS_Early.B 7205.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,a92fa598bad2bc35d3db078408d75ff8a294152c17fd6fe4df7984153f89c88a,8ab5b548f40bc13f,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,93154753245a355d7ca24d77380bf0d3fb4f22eb4023f1dcedcb6372d51965ca,ae8ca495c39e97c8,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/06ac6596-8d65-46dd-a343-a2209f3480e4___RS_Early.B 6921.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,9cd3cb9e45a9d17b9d1fd53191119d0d4cdaf570108c8dd996a1de0773b672d2,f733b8dcd0c08e49,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/06d9fcc9-4eea-4736-8392-5e483e2e948d___RS_Early.B 7411.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,d0899e772e3791ab03df19532b07cadcc5b729f8772987a86303fdf725c23eda,aa99fd12c079cb61,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,d5718adfc76f4bf302928a92684b919a64dd0855ef4090fe6024e41b8949efea,aec26dc22dc91ac7,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/07baabd8-e118-47dd-9d8d-132d4347836a___RS_Early.B 8555.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,4a3cd60d0b086fac5607b83d994d7ea576ad71ee7581d65d974cffe166160e34,82fdbfc0f201cb07,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/07d777f8-2c5a-48da-935e-f17c572b1e6e___RS_Early.B 7880.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,ccaabe5a95025cee2a337e1acba6b84b78f7c04df71aa8e2325603a88aa24bc3,ff68a80b852fd415,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/08029ccc-387e-4be6-9389-04f7b82fdb2a___RS_Early.B 9130.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,de318aa411a0eda395435e8ee4ee43a58618b6cb9af66fe639e1e032241afb24,d9d0ea8aa5b6b429,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/08194ca3-f0b2-4aaa-8df8-5ec5ddc6696a___RS_Early.B 8151.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,65c938b05771196583ef1953f642d2017498782935d0dd41ca6c7f6ee3b155db,aa4ef06b636f4864,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/08392b44-ecc6-4f38-8566-361b552cfe21___RS_Early.B 7393.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,5b5b04b3f1a185cb3fa460fdffff924a98be56f37615ef55a721cbacbcb98eea,ffc0e00f91338ee4,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0898bffc-57aa-4fdb-92d1-fd6a03d2a011___RS_Early.B 6946.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,7e552eebae615039a4dbdf6b9bbbf2a0fa95c008799201d6ab9ff2198e53e26d,abdcf520c817832f,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/089fb289-4bea-48b6-a29a-3a1d268d9dd3___RS_Early.B 8081.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,20c6789a26611537a5f6c83a6e84ee013da520040b137cdf39790c37ff364589,ead2258aa5cb14ed,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/08a892eb-19cc-45ea-babc-181b98f89238___RS_Early.B 7367.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,ce977c82a31496caab1e936a322ebd8f923ed87a1956a3c2d9541257639c5b10,f7d0e04b9ab48b32,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/08bbd7f1-169d-4e38-946f-8d91589b263e___RS_Early.B 7106.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,215d6d41078e3c2bb36515d9f22ef78c5d714f45592d080cac620241dae9d98b,aac863ca169db0b7,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/08cf1add-91f8-41ea-bc13-54e7d1cb6da0___RS_Early.B 6865.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,5891980007ba36a93d78f723edbbe50dd10753f35a63f5bb83d65c59937ae124,a2d234cdb68dfa44,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/094fbf4c-da00-4037-82af-03e712d8db47___RS_Early.B 6908.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,62bcaa73e06c9c37c78f2965ef686772d61940ccabf8e114c676362424dda11b,82673fd0d81ac16f,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,60862cf69e2e83619848e94315a04d0a9a0bc6de401e1893f47d66a556cc1c71,aee825d1379af209,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,f5e02958aaa73a1ee79d07df2485f377e797d11a1625a21a9d63208edb50f8bf,f628bb9d4018b73a,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,53d72392831042013092dc9beb8e09d60d2983e4ac48d70ed248c171b7144c4b,8876e68895c7d03f,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,9900b6ae92d623736e9947f4222ca512396e70496b6e68db8725e0b5f5e900a2,fcc134cf1a64d913,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,a9717e772970c313d2d61d30986597f3d1b8dc783d4de3656d3f2a7db03a80e4,eee2a4c2859f9698,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,621f98780294e0dd261fd10713580be4a2128af881bbd0fb7829fa5c5325de69,b28d3f56b81e4538,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,781f0b62e418580360932ea7b908e7e2b589675b805bee5ced2feb38953b01c4,faac80666752359b,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,9a7d79185c2b399771cf3e24d00749c6b1ea0ddfcce5f794884d47114a568a42,ea2d855391fad252,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,196cd7dbd3f21ad9564b1c2ae8027f68c46d8de5fda94d83888bf15aaf70480f,ff2f80d09cc2f0cc,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early.B 8386.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,af8169df3ab28a118690a2bae41f32cefbac439188e333396924036e5bca3663,fec8e2c297c89495,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,4cf1528105c07ee9b6a64dc2384d015bd39757251a36e5ccf8c81cfeefff93b7,db8374d4235ae3c8,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0c5b14d9-8b1c-4c39-bb23-1835b5760caa___RS_Early.B 7937.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,d8abc2c3ff6e17e84cef2b941791ed5e3c57cf8adfdf07c0f078365011ca543e,ff8fc598ca618864,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,3f476199d25bdfbd79ad299ae5e278522acd667ceaa86ac4819cfc41afc951b5,80997f5bf0fe0360,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,ffa3a97e9a8474a121e5f4b93e9ec3bb04523d7ccce4749e38dfde2f394b6f36,af91f443d42d8276,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0d2e2971-f1c9-4278-b35c-91dd8a22a64d___RS_Early.B 7581.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,6bf5f72508830e2f63525da6ae95884ad2c852baf4ceba4f605fc8d94c394b55,c64c28cb93b599b6,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,f89990f5645f99c540ceb16c083d1f02f72be7b1903164dfadb6024854bd4ed2,d5d5ab4a94a89ab4,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,9ea61c12b464be02e91b0d096ceebf4e181f1733a4965795eec3f75f8ae3e649,cda672d429964d9a,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,4526ee95dcf4a28db84dc711057cffbc26ca0243ae48868cd4bdc13d70d4b308,afe4b4c6d045ca96,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0e0a1b51-f61c-4934-bc57-a820af1faacb___RS_Early.B 7147.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,e43f78df32f5a04f38e4e3715e80c206a31283b004d72c5b0c3fed67dddc1c8e,a830ff4bfcfc0038,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0e6b9e09-2bcd-41e0-b001-b80a33a8a78b___RS_Early.B 8694.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,80383eb860005d2a829e936c31409710805bb039bf68eeb18f132138f3420529,d5f58a8ab4ba2463,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,2338cd1153ebbcecc9618558ddcabd028caa7277aabb60407ffadd80f817171b,dc1ea2b1e0e5d4c6,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,ef20ccc79808e1750a56a689e1d1270fe7364b1317b9e75bad4e0cbac5f77793,dbb529daa48cb119,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,9be3e258ed52aabe7eb0d0f7674d4492633eab46c33f93ab269f6cab65b48969,bea5d09bca99c914,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,b72edd1604d66eeb6c3ad3b9faffbb7aeb5e3ea36775dbb9323b986bd74bf8d6,eb52a80afe2dd815,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0faca7fe-7254-4dfa-8388-bbc776338c9c___RS_Early.B 7929.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,450e479055e777d6098da4182056c4c1f1bd3d2dc44fe9ca5b841d90d1f14c39,aaf2bdc980859f94,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0fd22207-cb37-42a1-965f-7dfe43f9d579___RS_Early.B 6876.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,10355feb52666b9f46a1ac2c39ba0c9859114e57bb5ffa98105ac3441a516a26,fc0a613f9712da49,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/107827b3-faa5-457c-97fd-3e34d2657f6b___RS_Early.B 7162.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,ce6f10fb4f4e4ce3a3826102b8b4d4886d8d44e2813fb4483cc9b7f1391b9f2a,ab05b05ecb7a9561,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,816e0114f8f62e7b830950c3c8a250098082ff2003c6f645b95f04ed7e2b0ab2,ae50e4e5811bdd99,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/109730cd-03f3-4139-a464-5f9151483e8c___RS_Early.B 6738.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,b400e5c28a538440a851f3d4e2058d4215079b10b7a44c4687df713480938987,f969319cc6721b29,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/10a3920b-dd04-406d-8bbd-f92f221e4dee___RS_Early.B 7035.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,ad9b3e755920c6326fe71619cf0d4c50c16e1a25541318d38d9d267e93ad1204,abc0948f6699d31d,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/10c438df-8ed7-4de7-94df-83298ebcf373___RS_Early.B 7001.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,36586297bd46a93fc7b08c70561ad3db7075a559d06b399e9c3519d9e50fc48e,aa916d97f05a8578,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/1131b92e-ef46-441e-ac5f-c18ac09bf69a___RS_Early.B 8064.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,bf100d4f7f2c7e9c32c029b55d00ca48cd4c078d7539193bfe44a68f07f38970,9abbbd15805acbe0,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/1132bee0-fe6b-41a9-9583-7b959c2ca25f___RS_Early.B 7482.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,6f0c2bc94bc9a0ffbbd632b2ecc5a03fc52cc8583044c8885c6ddd9b9525f2ae,f8c08bda9cb3b225,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/11e974fa-928f-45f6-b983-e74c74c7d163___RS_Early.B 7992.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,4bb9b646ee4641091996a951e06036836095064a0e9cd346f1cf67ea6105f8f0,f774aa06a52f910e,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/12429fa8-02ea-4017-88ef-b2d219b892f7___RS_Early.B 6916.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,8c9fbfd38d3b85036e62549326d02c22e006a886732b6bebd56efe633ff8548e,883dfdc086c3f20f,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/12826416-efc5-49d3-b615-731629c95435___RS_Early.B 7215.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,97a1423a93ce704bee59d257ef6c8e438cce3a57edd2724b2805d850a6b72040,bb34b531707ab321,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/129b1c3a-4f7d-4c45-ae03-2a4c3eb17dd4___RS_Early.B 7413.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,6f878152876fa15395b12ec25047631291573ae49141a3bd1b5f806a9929fbc6,fe54e54bd20d8a34,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/12a7bc09-8d7f-4790-8046-6e3f12f71399___RS_Early.B 7973.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,f2d0e3fa8c0f0f7d676f98fcc702fe6c55f96f380a225000070b1851f2f62bb7,ff0fa3309c47924a,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/12ebe6fe-c8ce-4a00-866f-8776aca75159___RS_Early.B 6873.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,e53190617b9033952fa5e419ffd71b74914708c005c53173b69ad90a28a5f944,bfe03093d09e53c9,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/12f7b8bd-7aab-48de-ba2e-d2562408542f___RS_Early.B 7386.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,959b3fd469f6477d36e431339c3f4519b42ca8027497d11c0308160b26b1ac63,eadb24c8936d5866,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/1328ae8b-76e1-42e9-a0c4-7dd0612fdf99___RS_Early.B 8303.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,3ee446c69521afbf1bcf98c447e1d5aae8af4521f0558389ba4fcd717a512c96,aef0c10b9e84f9b1,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/1367d3e9-74fe-4d61-ab24-dd389dcb5d54___RS_Early.B 8011.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,fb9b5e40d44d4528fa018a774accb374e72d7096e36e06860f287bf7b0af5f56,beb3a0d8c3398789,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,131304598b5f8399f69331d118bef20dba994593672c6be0aea7896b2e39f203,acec258977c9624d,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/13ddd965-db42-4392-9798-fe0ba5ad7928___RS_Early.B 7631.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,a7559d6bd94cbee8b7be92013e0c2ba47cba797b3ec08961ae31d1a2cb7cacd3,af64a466862eceb4,True,
